지점,일시,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppm),평균 아산화질소(N2O) 배경대기농도(ppm),평균 염화불화탄소11(CFC11) 배경대기농도(ppm),평균 염화불화탄소12(CFC12) 배경대기농도(ppm),평균 염화불화탄소113(CFC113) 배경대기농도(ppm),평균 육불화황(SF6) 배경대기농도(ppm)
132,2013-01-01,,1953.7,,196.8,505.4,73.8,8.1
132,2013-01-02,404.6,1928.9,,193.8,500.7,72.9,8
132,2013-01-03,,1927.8,,194.4,504.9,72.9,8
132,2013-01-04,,1958.2,,195.6,507.1,74.2,8
132,2013-01-05,,1947.3,,196.4,506.4,73.8,
132,2013-01-06,,1974.3,,,507,73.9,8.2
132,2013-01-07,,1959.9,,196.6,506.8,73.4,
132,2013-01-08,,1962.4,,195.8,507.2,73.4,8.2
132,2013-01-09,,1938,,194.7,504.2,73.2,8
132,2013-01-10,,1966.9,,195.5,505.6,74,8
132,2013-01-11,,1963.6,,195.8,505.6,,8
132,2013-01-12,,,,,510,74.9,
132,2013-01-13,,,,,510.7,,
132,2013-01-14,,,,197.7,503.6,74,
132,2013-01-15,,1969.8,,197,505.6,74.5,
132,2013-01-16,,,,196.8,504.9,73.6,
132,2013-01-17,,1973.4,,196.2,505.9,73.3,8
132,2013-01-18,,1931.3,,195.4,504.7,73.3,8
132,2013-01-19,,1974.8,,197.2,506.7,73.7,7.9
132,2013-01-20,,,,,508,73.9,
132,2013-01-21,,,,198.9,507.7,74.4,
132,2013-01-22,,1954,,193,498.1,74.5,8.1
132,2013-01-23,,1954.8,,194.6,499,74.5,8
132,2013-01-24,,1931,,192.8,499.7,74.3,8.1
132,2013-01-25,401.4,1921.2,,190.8,498.3,74.5,7.9
132,2013-01-26,,1922,,191.5,497.2,74.6,8.1
132,2013-01-27,403.8,1926.4,,191.5,497.1,74,8.1
132,2013-01-28,,1932.8,,191.7,498.3,74.3,8
132,2013-01-29,407.3,1947.8,,193.9,498.5,74.5,8.2
132,2013-01-30,,1941.7,,192.2,497.5,74.1,8
132,2013-01-31,,1972.8,,193.7,498.5,74.5,8.1
132,2013-02-01,,1939.2,,195.1,499.2,74.8,
132,2013-02-02,405.8,1947.2,,191.8,496.6,74,7.9
132,2013-02-03,,,,193,497.8,73.6,8.1
132,2013-02-04,,1962.6,,192.5,499.2,74.3,8.2
132,2013-02-05,,,,197.5,500.2,,
132,2013-02-06,407.2,1942.3,,192.4,498.6,74.6,8
132,2013-02-07,,1951.1,,191.1,496.9,74.2,8.1
132,2013-02-08,,1965.2,,191.4,498.4,,8.1
132,2013-02-09,,1966.3,,191.9,498.6,74.6,8.2
132,2013-02-10,,1960.3,,192.1,497.6,74.4,8.1
132,2013-02-11,,1944.5,,191.3,499.3,,8.1
132,2013-02-12,,1949.9,,194,498.7,74.5,8.1
132,2013-02-13,,1950.4,,192.1,497.2,,8.2
132,2013-02-14,,1954.1,,192.2,498.8,74.7,
132,2013-02-15,,1946,,191.7,497.9,74,7.9
132,2013-02-16,,1960.2,,191.6,497.9,73.9,8
132,2013-02-17,,,,194.9,498.6,74.5,
132,2013-02-18,,1957.9,,192.1,498.9,74.4,8.1
132,2013-02-19,,1948.1,,191.1,496.5,73.9,8
132,2013-02-20,,1944.6,,191.5,498.9,73.8,8
132,2013-02-21,,1966.5,,192,498.4,74.5,8.3
132,2013-02-22,,1945,,194.8,500.3,72.5,8.1
132,2013-02-23,,1931.4,,,522.8,72.5,8
132,2013-02-24,,1954,,,,,8.2
132,2013-02-25,,1970.6,,,523.7,72.9,8.2
132,2013-02-26,,1971.8,,,,73.4,
132,2013-02-27,,1953.8,,,523.6,,
132,2013-02-28,,1942.4,,,525.7,,
132,2013-03-01,405.1,1937.1,,,522.9,72.5,8.2
132,2013-03-02,405,1938.9,,,523.4,72.8,8.2
132,2013-03-03,,1938.1,,,524.4,73.4,8.1
132,2013-03-04,,1961.7,,,526,73,8.2
132,2013-03-05,,1956.7,,,524.5,72.9,8.2
132,2013-03-06,,1954.7,,,526.2,73,8.3
132,2013-03-07,,1949.1,,,524.7,73.3,8.2
132,2013-03-08,,,,,530.2,,
132,2013-03-09,,,,,528.3,72.8,
132,2013-03-10,404.8,1939.5,,219.9,524.2,72.6,8
132,2013-03-11,,1949.6,,221.7,523.7,72.6,7.9
132,2013-03-12,,1954.6,,222.4,526,72.9,
132,2013-03-13,405.3,1935.6,,220.2,523.4,72.9,8.1
132,2013-03-14,,1939.3,,220.6,523.8,72.8,8
132,2013-03-15,404.4,1940,,220.2,523,72.9,8
132,2013-03-16,406.4,1939.9,,220.2,523.7,72.7,7.9
132,2013-03-17,,1954,,222.7,525,72.2,8.4
132,2013-03-18,,1946.8,,223.1,524.4,73,8
132,2013-03-19,,1967.8,,221.1,525.9,72.4,8.3
132,2013-03-20,,,,219.3,525.9,72.5,8.1
132,2013-03-21,403,,,222.5,524.4,73,8.3
132,2013-03-22,407.3,1966.1,,221.2,524.1,72.8,8.1
132,2013-03-23,,,,221.6,525.3,73,8.3
132,2013-03-24,407,,,221,524.6,73.2,8.2
132,2013-03-25,406.5,,,220,524,73.3,8.2
132,2013-03-26,,1968.6,,220.4,525.4,73.1,8
132,2013-03-27,,,,222.4,526.6,73.3,8.3
132,2013-03-28,,,,221.6,523.8,73.4,8.3
132,2013-03-29,,,,220.4,524.1,73.3,8.2
132,2013-03-30,,,,222.7,524.5,72.8,8.1
132,2013-03-31,405.2,,,222.2,525.9,,8.4
132,2013-04-01,,,,226.7,526.2,73.3,
132,2013-04-02,,,,228.5,525.3,73.1,
132,2013-04-03,,,,228.2,525.2,73.4,8.4
132,2013-04-04,,,,,528,,8.6
132,2013-04-05,,,,234.6,527.7,,
132,2013-04-06,,,,222.3,527.3,73.5,8.2
132,2013-04-07,402.9,,,221.9,523.1,72.6,8.1
132,2013-04-08,,,,224.7,521.8,73,8.1
132,2013-04-09,,,,226,526.4,72.7,8.1
132,2013-04-10,,,,222.2,523.2,72.8,8
132,2013-04-11,408.1,1931.8,,227,523.6,72.7,8
132,2013-04-12,,1924.3,,223.7,523.7,72.9,8
132,2013-04-13,405.9,1921.3,,224.5,524.9,73.1,8.1
132,2013-04-14,,1938.7,,221.9,524.8,72.8,8
132,2013-04-15,,1944.2,,222.2,524.5,72.7,8.1
132,2013-04-16,,1914.2,,223.3,524.8,73.2,8.2
132,2013-04-17,,,,227.3,530.7,,
132,2013-04-18,,1918.4,,222.5,525,72.4,8.1
132,2013-04-19,,1928.3,,221.5,524.3,72.5,8
132,2013-04-20,,1929.9,,221.7,524.2,,8
132,2013-04-21,,1952.6,,231.9,523.8,73,8.2
132,2013-04-22,,1956,,235.1,526.8,,8.3
132,2013-04-23,,,,,526.6,73.7,8.4
132,2013-04-24,,1918.1,,224.1,525.4,72.8,
132,2013-04-25,,1939.6,,,528.3,,
132,2013-04-26,,1931.4,,224.2,525.2,73.1,8
132,2013-04-27,,1942.6,,,526.4,,8.1
132,2013-04-28,,1923.9,,225,525.2,73.1,8.2
132,2013-04-29,,1923.1,,225.7,525.1,73.4,8.2
132,2013-04-30,,1930.2,,,526.6,73.7,8.3
132,2013-05-01,,1939.7,,223.5,523.7,73.3,8
132,2013-05-02,,1928.7,,222.6,526.1,72.9,8.2
132,2013-05-03,,1930.3,,,524.2,72.8,8
132,2013-05-04,,1914.2,,,524.6,73.1,8.4
132,2013-05-05,,1926.5,,,524.7,73.4,8.4
132,2013-05-06,408.2,1908.1,,227.2,524.3,73.2,8.2
132,2013-05-07,,1960.9,,225.4,524.2,73,8.3
132,2013-05-08,,1926.5,,224.6,525.1,73.3,8.1
132,2013-05-09,,1938.7,,224.1,526.6,73.1,8.2
132,2013-05-10,407.8,1904.2,,226.2,525.2,73.2,8.3
132,2013-05-11,,1949.2,,,526.5,74,8.6
132,2013-05-13,,1933.3,,227.3,528.5,72.4,8.5
132,2013-05-14,,1909.8,,228.2,527.3,73.7,
132,2013-05-15,405.6,1921.4,,225.6,526.6,72.7,
132,2013-05-16,,1944.3,,227.2,527.5,73.6,
132,2013-05-17,,1930.5,,224.4,523.7,73,8.2
132,2013-05-18,,,,227.9,528,,
132,2013-05-19,,1942.2,,224.3,528.2,73.1,7.9
132,2013-05-20,406.2,1908.4,,224.4,528.1,,
132,2013-05-21,,1941.2,,220.9,526,73.5,8.1
132,2013-05-22,,,,229.6,526.7,73.7,
132,2013-05-23,,,,,534,,
132,2013-05-24,,,,,,73.5,8.5
132,2013-05-25,,,,,529.9,,
132,2013-05-26,,,,229.9,530.6,,
132,2013-05-27,,1955.7,,229.5,528.3,73.5,8.5
132,2013-05-28,,1930,,224.5,525.9,73.5,8.5
132,2013-05-29,,1927.6,,229.6,526.1,73.6,
132,2013-05-30,,1953.9,,,529.1,,
132,2013-05-31,,1954.6,,,526,,8.4
132,2013-06-01,,1960.3,,,530.2,,8.4
132,2013-06-02,,1944,,230.6,527.5,74.4,8.4
132,2013-06-03,,1941.4,,,528.6,74.3,8.4
132,2013-06-04,,,,,526.7,73.6,
132,2013-06-05,,1936.8,,223.6,526.2,72.9,
132,2013-06-06,,,,223.3,525.4,72.7,8.5
132,2013-06-07,,1927.6,,225.8,525.5,75.1,8.4
132,2013-06-08,,,,225.4,526.2,72.5,8.1
132,2013-06-09,,1956.3,,226.3,528.2,72.8,8.8
132,2013-06-10,,,,224.2,525.3,72.8,8.7
132,2013-06-11,,,,226.6,526.4,73.3,
132,2013-06-12,,1904.4,,224,524.2,72.8,8.7
132,2013-06-13,,,,,527.1,73.2,8.6
132,2013-06-14,,,,,527.1,73.3,8.8
132,2013-06-15,,1913.4,,230.8,526.9,73.4,8.8
132,2013-06-16,,1928.3,,230.5,525.7,,8.6
132,2013-06-17,,1902.5,,225.6,526,73.4,8.5
132,2013-06-18,,,,224.3,527.1,73.1,8.4
132,2013-06-19,,1919.1,,227.9,525.7,73.6,8.6
132,2013-06-20,,,,,526.7,73.8,8.5
132,2013-06-21,,,,,524.1,74.1,8.4
132,2013-06-22,,,,,506.3,75,8.6
132,2013-06-23,,1940.4,,,503.1,74.6,8.2
132,2013-06-24,,1937.2,,,502.8,74.9,8.4
132,2013-06-25,,,,,504.9,75.2,8.6
132,2013-06-26,,1916.4,,,502.8,74.9,8.4
132,2013-06-27,,,,,503.5,74.6,8.4
132,2013-06-28,,1941.7,,,503.5,75,8.6
132,2013-06-29,,,,,503.2,75.6,
132,2013-06-30,,,,,504.1,75.5,
132,2013-07-01,,,,231.9,503.4,75.3,8.4
132,2013-07-02,,1884.5,,232.1,506.3,,8.3
132,2013-07-03,,,,,,76.3,8.6
132,2013-07-04,,,,,509.7,76.4,8.3
132,2013-07-05,,1884.6,,231.6,505.3,74.9,8
132,2013-07-06,,1867.4,,230.6,502,74.7,8
132,2013-07-07,,1896.3,,233.2,505.5,75,8.4
132,2013-07-08,,,,230.6,502.3,75.2,8.2
132,2013-07-09,399.7,,,231.6,503.6,74.8,8.3
132,2013-07-10,399.8,,,231.1,502.1,74.9,8.2
132,2013-07-11,400.1,,,231,503.3,74.7,8.4
132,2013-07-12,398.2,,,230.7,501.9,74.9,8
132,2013-07-13,399.9,,,230.7,501.5,74.8,7.8
132,2013-07-14,398.5,,,230.3,500.9,74.9,7.8
132,2013-07-15,,,,231,502.4,74.8,8
132,2013-07-16,,,,231.6,502.4,74.5,8.1
132,2013-07-17,398.3,,,,,,8
132,2013-07-18,399,,,,,,8
132,2013-07-19,,,,,,,8.1
132,2013-07-20,399.1,,,,,,8
132,2013-07-21,,,,,,,8.1
132,2013-07-22,397.5,,,,,,8.1
132,2013-07-23,397.9,,,,,73.1,8.2
132,2013-07-24,397.6,1926.7,,,,73.3,8.3
132,2013-07-26,393.5,,,,,,
132,2013-07-28,,1887.4,,,,,
132,2013-08-01,,,,,,74.6,
132,2013-08-02,,,,,,,8.1
132,2013-08-03,,,,,,74.5,8
132,2013-08-04,,1901.6,,,,,
132,2013-08-05,,1924.2,,,,,8.1
132,2013-08-06,,1860.7,,,,,8.1
132,2013-08-07,,1849.8,,,,,8.1
132,2013-08-08,,1844.2,,,,65.2,8.1
132,2013-08-09,,1894.4,,,,,
132,2013-08-10,,,,,,74.5,8.3
132,2013-08-11,,,,,,64.9,
132,2013-08-12,,,,,,73.8,8.1
132,2013-08-13,,,,,,74.3,7.9
132,2013-08-14,,,,,,63.6,8.1
132,2013-08-15,,,,,,,8
132,2013-08-16,,,,,,67.6,7.9
132,2013-08-17,396.9,,,,,63.3,8.1
132,2013-08-18,,,,,,,8.3
132,2013-08-19,393.8,1924.6,,,,70.2,8.4
132,2013-08-20,,,,,,,8.3
132,2013-08-22,,,,,,,8.2
132,2013-08-23,,1879,,,,62.6,8
132,2013-08-26,,,,,,,8.2
132,2013-08-27,,,,,,74.6,8.2
132,2013-08-28,392.4,,,,,,
132,2013-08-29,,1904.3,,,,71.5,8.3
132,2013-08-30,,,,,,66.4,8.1
132,2013-08-31,,,,,,63.4,8.1
132,2013-09-01,,,,,,64,8
132,2013-09-02,,1930.9,,,,,8.1
132,2013-09-03,,1931,,,,64.7,8.3
132,2013-09-04,,1939.8,,,,65.2,8.3
132,2013-09-05,,,,,,63.4,
132,2013-09-06,,,,,,,8.4
132,2013-09-07,,,,,,63,8.3
132,2013-09-08,,1931.4,,,,,
132,2013-09-09,,,,,,65.1,
132,2013-09-10,,,,,,65.7,
132,2013-09-13,,1923.7,,,,,
132,2013-09-14,,1932.3,,,,68.8,
132,2013-09-15,,1960.7,,,,,
132,2013-09-16,,1905.5,,,,,8
132,2013-09-17,,,,,,68.4,8.2
132,2013-09-20,,,,,,66.9,
