지점,일시,평균 오존전량(DU)
132,2020-01-01,-999
132,2020-01-02,308.5
132,2020-01-03,325
132,2020-01-04,377
132,2020-01-05,-999
132,2020-01-06,-999
132,2020-01-07,-999
132,2020-01-08,-999
132,2020-01-09,301.5
132,2020-01-10,327.5
132,2020-01-11,324.6
132,2020-01-12,312.8
132,2020-01-13,-999
132,2020-01-14,380.9
132,2020-01-15,361.2
132,2020-01-16,375.7
132,2020-01-17,366.1
132,2020-01-18,-999
132,2020-01-19,-999
132,2020-01-20,312.3
132,2020-01-21,306.2
132,2020-01-22,-999
132,2020-01-23,333.1
132,2020-01-24,-999
132,2020-01-25,-999
132,2020-01-26,-999
132,2020-01-27,-999
132,2020-01-28,374.4
132,2020-01-29,371.3
132,2020-01-30,346.2
132,2020-01-31,325.7
132,2020-02-01,317.1
132,2020-02-02,-999
132,2020-02-03,-999
132,2020-02-04,-999
132,2020-02-05,-999
132,2020-02-06,-999
132,2020-02-07,-999
132,2020-02-08,367.7
132,2020-02-09,-999
132,2020-02-10,363.5
132,2020-02-11,338
132,2020-02-12,-999
132,2020-02-13,349.5
132,2020-02-14,336.6
132,2020-02-15,327.6
132,2020-02-16,-999
132,2020-02-17,-999
132,2020-02-18,359.2
132,2020-02-19,335.5
132,2020-02-20,398
132,2020-02-21,342
132,2020-02-22,385.3
132,2020-02-23,359.5
132,2020-02-24,324.9
132,2020-02-25,-999
132,2020-02-26,339.9
132,2020-02-27,356.9
132,2020-02-28,-999
132,2020-02-29,364.7
132,2020-03-01,325.4
132,2020-03-02,328.7
132,2020-03-03,334.2
132,2020-03-04,355.1
132,2020-03-05,352.8
132,2020-03-06,336
132,2020-03-07,383.9
132,2020-03-08,357.9
132,2020-03-09,358.2
132,2020-03-10,-999
132,2020-03-11,433.4
132,2020-03-12,399.1
132,2020-03-13,382.1
132,2020-03-14,-999
132,2020-03-15,-999
132,2020-03-16,375
132,2020-03-17,377.6
132,2020-03-18,370.5
132,2020-03-19,399.2
132,2020-03-20,383.6
132,2020-03-21,351
132,2020-03-22,353.5
132,2020-03-23,357.5
132,2020-03-24,374
132,2020-03-25,341.2
132,2020-03-26,-999
132,2020-03-27,325.8
132,2020-03-28,339.9
132,2020-03-29,369.4
132,2020-03-30,359.6
132,2020-03-31,337.6
132,2020-04-01,361.9
132,2020-04-02,380.2
132,2020-04-03,403.6
132,2020-04-04,367.9
132,2020-04-05,379.6
132,2020-04-06,370.5
132,2020-04-07,376.4
132,2020-04-08,377.2
132,2020-04-09,389
132,2020-04-10,406
132,2020-04-11,396.6
132,2020-04-12,423.1
132,2020-04-13,389.6
132,2020-04-14,363.9
132,2020-04-15,388.9
132,2020-04-16,374.2
132,2020-04-17,380.2
132,2020-04-18,-999
132,2020-04-19,-999
132,2020-04-20,-999
132,2020-04-21,337.5
132,2020-04-22,381.7
132,2020-04-23,384.6
132,2020-04-24,393.5
132,2020-04-25,388.3
132,2020-04-26,425.3
132,2020-04-27,424.8
132,2020-04-28,368.3
132,2020-04-29,369.4
132,2020-04-30,351.9
132,2020-05-01,-999
132,2020-05-02,314.8
132,2020-05-03,329.4
132,2020-05-04,326.7
132,2020-05-05,331.2
132,2020-05-06,357.8
132,2020-05-07,323.8
132,2020-05-08,300.9
132,2020-05-09,-999
132,2020-05-10,313.8
132,2020-05-11,332.3
132,2020-05-12,394
132,2020-05-13,369.9
132,2020-05-14,-999
132,2020-05-15,-999
132,2020-05-16,-999
132,2020-05-17,345.9
132,2020-05-18,-999
132,2020-05-19,369.5
132,2020-05-20,364.3
132,2020-05-21,357.3
132,2020-05-22,362.2
132,2020-05-23,342.3
132,2020-05-24,-999
132,2020-05-25,-999
132,2020-05-26,-999
132,2020-05-27,339.1
132,2020-05-28,366.4
132,2020-05-29,340.1
132,2020-05-30,-999
132,2020-05-31,-999
132,2020-06-01,-999
132,2020-06-02,-999
132,2020-06-03,-999
132,2020-06-04,-999
132,2020-06-05,325
132,2020-06-06,-999
132,2020-06-07,-999
132,2020-06-08,-999
132,2020-06-09,306.1
132,2020-06-10,-999
132,2020-06-11,-999
132,2020-06-12,-999
132,2020-06-13,-999
132,2020-06-14,-999
132,2020-06-15,315.7
132,2020-06-16,-999
132,2020-06-17,-999
132,2020-06-18,-999
132,2020-06-19,-999
132,2020-06-20,-999
132,2020-06-21,-999
132,2020-06-22,327.1
132,2020-06-23,-999
132,2020-06-24,-999
132,2020-06-25,-999
132,2020-06-26,309.2
132,2020-06-27,-999
132,2020-06-28,-999
132,2020-06-29,-999
132,2020-06-30,-999
132,2020-07-01,-999
132,2020-07-02,306.6
132,2020-07-03,-999
132,2020-07-04,-999
132,2020-07-05,-999
132,2020-07-06,308.6
132,2020-07-07,-999
132,2020-07-08,333
132,2020-07-09,-999
132,2020-07-10,324.8
132,2020-07-11,-999
132,2020-07-12,-999
132,2020-07-13,-999
132,2020-07-14,-999
132,2020-07-15,321.6
132,2020-07-16,320.8
132,2020-07-17,327.5
132,2020-07-18,305.4
132,2020-07-19,-999
132,2020-07-20,-999
132,2020-07-21,310.1
132,2020-07-22,293.4
132,2020-07-23,-999
132,2020-07-24,317.9
132,2020-07-25,310.9
132,2020-07-26,293.9
132,2020-07-27,280.7
132,2020-07-28,275.6
132,2020-07-29,-999
132,2020-07-30,305.1
132,2020-07-31,285.3
132,2020-08-01,299.3
132,2020-08-02,-999
132,2020-08-03,-999
132,2020-08-04,276.3
132,2020-08-05,277.6
132,2020-08-06,287.3
132,2020-08-07,-999
132,2020-08-08,280.2
132,2020-08-09,-999
132,2020-08-10,260.4
132,2020-08-11,293.8
132,2020-08-12,-999
132,2020-08-13,276.9
132,2020-08-14,286.8
132,2020-08-15,-999
132,2020-08-16,-999
132,2020-08-17,-999
132,2020-08-18,283.3
132,2020-08-19,279.2
132,2020-08-20,-999
132,2020-08-21,289.3
132,2020-08-22,298.3
132,2020-08-23,285
132,2020-08-24,275.5
132,2020-08-25,-999
132,2020-08-26,-999
132,2020-08-27,-999
132,2020-08-28,-999
132,2020-08-29,-999
132,2020-08-30,-999
132,2020-08-31,-999
132,2020-09-01,-999
132,2020-09-02,-999
132,2020-09-03,-999
132,2020-09-04,-999
132,2020-09-05,-999
132,2020-09-06,-999
132,2020-09-07,-999
132,2020-09-08,305.6
132,2020-09-09,311.7
132,2020-09-10,290.3
132,2020-09-11,-999
132,2020-09-12,-999
132,2020-09-13,302.4
132,2020-09-14,294.5
132,2020-09-15,287.8
132,2020-09-16,-999
132,2020-09-17,-999
132,2020-09-18,298.1
132,2020-09-19,305.4
132,2020-09-20,319.5
132,2020-09-21,309
132,2020-09-22,304.5
132,2020-09-23,298.7
132,2020-09-24,295.1
132,2020-09-25,311
132,2020-09-26,310.3
132,2020-09-27,289.1
132,2020-09-28,291.8
132,2020-09-29,288.2
132,2020-09-30,305.2
132,2020-10-01,288.9
132,2020-10-02,288.8
132,2020-10-03,279.9
132,2020-10-04,280.2
132,2020-10-05,287
132,2020-10-06,283.2
132,2020-10-07,275.5
132,2020-10-08,277.4
132,2020-10-09,277
132,2020-10-10,268.9
132,2020-10-11,259.5
132,2020-10-12,265.1
132,2020-10-13,268.3
132,2020-10-14,267.8
132,2020-10-15,271.6
132,2020-10-16,-999
132,2020-10-17,-999
132,2020-10-18,-999
132,2020-10-19,302.4
132,2020-10-20,292.9
132,2020-10-21,-999
132,2020-10-22,292.4
132,2020-10-23,292.4
132,2020-10-24,-999
132,2020-10-25,-999
132,2020-10-26,284.7
132,2020-10-27,276.5
132,2020-10-28,266.1
132,2020-10-29,279.6
132,2020-10-30,299.8
132,2020-10-31,284.4
132,2020-11-01,-999
132,2020-11-02,290.5
132,2020-11-03,297.5
132,2020-11-04,294.5
132,2020-11-05,277.5
132,2020-11-06,266.2
132,2020-11-07,279.9
132,2020-11-08,290.5
132,2020-11-09,302.6
132,2020-11-10,318.1
132,2020-11-11,316.7
132,2020-11-12,288.2
132,2020-11-13,286
132,2020-11-14,280.7
132,2020-11-15,276.1
132,2020-11-16,282.8
132,2020-11-17,277
132,2020-11-18,-999
132,2020-11-19,-999
132,2020-11-20,-999
132,2020-11-21,-999
132,2020-11-22,-999
132,2020-11-23,-999
132,2020-11-24,-999
132,2020-11-25,-999
132,2020-11-26,-999
132,2020-11-27,-999
132,2020-11-28,-999
132,2020-11-29,-999
132,2020-11-30,-999
132,2020-12-01,-999
132,2020-12-02,-999
132,2020-12-03,-999
132,2020-12-04,-999
132,2020-12-05,-999
132,2020-12-06,-999
132,2020-12-07,-999
132,2020-12-08,-999
132,2020-12-09,-999
132,2020-12-10,-999
132,2020-12-11,-999
132,2020-12-12,-999
132,2020-12-13,-999
132,2020-12-14,-999
132,2020-12-15,-999
132,2020-12-16,-999
132,2020-12-17,-999
132,2020-12-18,-999
132,2020-12-19,-999
132,2020-12-20,-999
132,2020-12-21,-999
132,2020-12-22,-999
132,2020-12-23,-999
132,2020-12-24,-999
132,2020-12-25,-999
132,2020-12-26,-999
132,2020-12-27,-999
132,2020-12-28,-999
132,2020-12-29,-999
132,2020-12-30,-999
132,2020-12-31,-999
