지점,일시,평균 오존전량(DU)
132,2013-02-01,
132,2013-02-02,308.4
132,2013-02-03,
132,2013-02-04,292.8
132,2013-02-05,
132,2013-02-06,354.3
132,2013-02-07,366.9
132,2013-02-08,316.6
132,2013-02-09,309.8
132,2013-02-10,327.9
132,2013-02-11,306.2
132,2013-02-12,316.3
132,2013-02-13,331.1
132,2013-02-14,324.7
132,2013-02-15,350
132,2013-02-16,371.2
132,2013-02-17,315.3
132,2013-02-18,302.3
132,2013-02-19,306.9
132,2013-02-20,306.9
132,2013-02-21,317.4
132,2013-02-22,310.5
132,2013-02-23,325.3
132,2013-02-24,
132,2013-02-25,323.9
132,2013-02-26,
132,2013-02-27,302.9
132,2013-02-28,316.7
132,2013-03-01,297.9
132,2013-03-02,302.1
132,2013-03-03,361.3
132,2013-03-04,412.6
132,2013-03-05,358.7
132,2013-03-06,315.9
132,2013-03-07,
132,2013-03-08,349.3
132,2013-03-09,319.8
132,2013-03-10,301.1
132,2013-03-11,313.1
132,2013-03-12,287.6
132,2013-03-13,284.7
132,2013-03-14,327.3
132,2013-03-15,311.8
132,2013-03-16,318.3
132,2013-03-17,306.8
132,2013-03-18,358.5
132,2013-03-19,353.9
132,2013-03-20,377.9
132,2013-03-21,380.2
132,2013-03-22,372.7
132,2013-03-23,359.8
132,2013-03-24,356.2
132,2013-03-25,405.1
132,2013-03-26,359.8
132,2013-03-27,341.9
132,2013-03-28,342.9
132,2013-03-29,345.7
132,2013-03-30,332.9
132,2013-03-31,334.1
132,2013-04-01,
132,2013-04-02,
132,2013-04-03,295.4
132,2013-04-04,
132,2013-04-05,
132,2013-04-06,
132,2013-04-07,226.8
132,2013-04-08,287.6
132,2013-04-09,305
132,2013-04-10,443.1
132,2013-04-11,307.1
132,2013-04-12,290.6
132,2013-04-13,
132,2013-04-14,
132,2013-04-15,
132,2013-04-16,
132,2013-04-17,235.6
132,2013-04-18,
132,2013-04-19,234.4
132,2013-04-20,431
132,2013-04-21,288.1
132,2013-04-22,
132,2013-04-23,
132,2013-04-24,375.4
132,2013-04-25,365.1
132,2013-04-26,427.4
132,2013-04-27,384.8
132,2013-04-28,362.5
132,2013-04-29,
132,2013-04-30,336.9
132,2013-05-01,400.9
132,2013-05-02,388.1
132,2013-05-03,409.8
132,2013-05-04,405.8
132,2013-05-05,379.5
132,2013-05-06,358.5
132,2013-05-07,351.3
132,2013-05-08,341.4
132,2013-05-09,318.3
132,2013-05-10,308.8
132,2013-05-11,349
132,2013-05-12,365.6
132,2013-05-13,364.1
132,2013-05-14,339.4
132,2013-05-15,327.4
132,2013-05-16,320.6
132,2013-05-17,309
132,2013-05-18,298.7
132,2013-05-19,333.3
132,2013-05-20,
132,2013-05-21,360
132,2013-05-22,356.3
132,2013-05-23,335.9
132,2013-05-24,338.8
132,2013-05-25,338.9
132,2013-05-26,329.3
132,2013-05-27,
132,2013-05-28,
132,2013-05-29,
132,2013-05-30,308.5
132,2013-05-31,326.9
132,2013-06-01,321.9
132,2013-06-02,329
132,2013-06-03,358.4
132,2013-06-04,374.9
132,2013-06-05,368
132,2013-06-06,355.4
132,2013-06-07,331.9
132,2013-06-08,311.2
132,2013-06-09,324.6
132,2013-06-10,308.2
132,2013-06-11,298.4
132,2013-06-12,312.3
132,2013-06-13,317.8
132,2013-06-14,318.5
132,2013-06-15,321
132,2013-06-16,317.8
132,2013-06-17,305.9
132,2013-06-18,
